SEGMENT_NAME;PAR;SIZE_POS;IO_POS;UNUSED_MB;QUALITY_%;SEG_GROSS_MB;SEG_NET_MB;DATA_GROSS_MB;DATA_NET_MB
SYS_C0028705;;10;22;20089.57;23.06;26111.00;25348.16;26587.30;6021.43
SYS_C0028718;;12;23;13212.75;35.30;20421.00;19824.40;20791.40;7208.25
GLX_BL_ENTRY_ID;;14;29;10973.30;37.17;17466.00;16955.73;17783.92;6492.70
SYS_C0028700;;27;52;5943.99;11.42;6720.00;6523.67;6710.61;766.62
GLX_BL_OCCURED_ON;;29;51;5126.25;9.65;5766.00;5597.55;5673.81;547.56
GLX_BL_IDX_ORDINAL;;23;28;4746.23;40.69;8647.00;7631.25;8002.56;3256.33
GLX_BL_AUTOINC;;43;44;2658.89;14.49;3184.00;3090.98;3109.49;450.60
GLX_CDX_EO;;46;50;1969.06;26.31;2672.00;2593.94;2718.64;702.94
SYS_C0024726;;53;14;1288.72;19.26;1728.00;1525.01;1596.20;307.48
GLX_BL_EVENT_TYPE;;60;66;420.12;48.51;816.00;792.16;828.87;395.88
GLX_BL_COMMITED;;63;68;387.90;47.86;744.00;722.26;755.77;356.10
BC_BPEM_EL_ENTRY~Z2;;66;57;346.23;36.31;560.00;543.64;462.18;197.41
BPEM_IDX_OBJ_I2;;80;25;192.85;32.92;312.00;275.35;287.50;94.65
SYS_C0012343;;78;69;186.21;36.87;320.00;282.41;294.95;108.74
GLX_C_SUBSCRIPT_FP~ZF;;83;74;135.97;38.79;222.13;215.64;225.12;86.15
SYS_C005291;;81;100;132.33;48.88;264.00;232.99;258.84;126.51
SYS_C007572;;82;48;123.58;42.09;232.00;204.75;213.40;89.82
SYS_C005267;;87;78;103.71;38.20;178.00;157.09;167.81;64.10
